iter	Passed	Remaining
0	2	224
1	4	209
2	6	201
3	12	291
4	13	264
5	16	257
6	18	240
7	19	225
8	21	218
9	23	215
10	25	209
11	27	201
12	29	199
13	31	193
14	33	187
15	34	181
16	38	190
17	40	184
18	42	179
19	44	176
20	45	171
21	47	167
22	48	163
23	50	159
24	56	168
25	57	165
26	59	161
27	61	158
28	63	154
29	64	150
30	66	148
31	68	145
32	70	143
33	72	141
34	74	139
35	76	135
36	78	132
37	79	129
38	81	127
39	82	124
40	84	121
41	85	117
42	86	115
43	88	112
44	89	109
45	91	107
46	92	104
47	94	102
48	97	101
49	99	99
50	100	96
51	102	94
52	104	92
53	105	90
54	106	87
55	108	85
56	113	85
57	114	83
58	116	81
59	118	78
60	119	76
61	121	74
62	123	72
63	132	74
64	134	72
65	138	71
66	145	71
67	147	69
68	149	67
69	150	64
70	152	62
71	153	59
72	155	57
73	157	55
74	159	53
75	160	50
76	163	48
77	172	48
78	174	46
79	176	44
80	177	41
81	179	39
82	182	37
83	184	35
84	186	32
85	188	30
86	190	28
87	193	26
88	201	24
89	202	22
90	204	20
91	205	17
92	207	15
93	208	13
94	210	11
95	213	8
96	215	6
97	217	4
98	218	2
99	221	0
